GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Boileplate-for-Reactive-Programming,com.webflux.boilerplate.controller,PersonController,81,57,4,0,15,14,6,6,3,6
Boileplate-for-Reactive-Programming,com.webflux.boilerplate.adapter.impl,AdapterServiceImpl,113,0,2,0,24,0,11,0,10,0
Boileplate-for-Reactive-Programming,com.webflux.boilerplate.mapper,PersonRequestMapper,13,0,0,0,6,0,3,0,3,0
Boileplate-for-Reactive-Programming,com.webflux.boilerplate.mapper,DtoToPersonMapperImpl,51,0,4,0,16,0,5,0,3,0
Boileplate-for-Reactive-Programming,com.webflux.boilerplate.mapper,PersonResponseMapper,55,0,0,0,25,0,5,0,5,0
Boileplate-for-Reactive-Programming,com.webflux.boilerplate.service.impl,PersonServiceImpl,161,0,0,0,42,0,16,0,16,0
Boileplate-for-Reactive-Programming,com.webflux.boilerplate.entity,Person,41,0,0,0,14,0,10,0,10,0
Boileplate-for-Reactive-Programming,com.webflux.boilerplate.filter,RequestIdFilter,3,31,3,1,0,7,2,3,0,3
Boileplate-for-Reactive-Programming,com.webflux.boilerplate.config,WebClientConfig,41,0,0,0,11,0,3,0,3,0
